userId,Genres_and_Movies,Movies
1,"['Action,Adventure']","[[{'movieId': 1049, 'title': 'Ghost and the Darkness, The (1996)', 'imdbId': 116409, 'tmdbId': 10586}, {'movieId': 1198, 'title': 'Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981)', 'imdbId': 82971, 'tmdbId': 85}, {'movieId': 1291, 'title': 'Indiana Jones and the Last Crusade (1989)', 'imdbId': 97576, 'tmdbId': 89}]]"
2,"['Action,Adventure,Sci-Fi,Thriller']","[[{'movieId': 122882, 'title': 'Mad Max: Fury Road (2015)', 'imdbId': 1392190, 'tmdbId': 76341}]]"
3,"['Action,Adventure,Sci-Fi,Thriller']","[[{'movieId': 849, 'title': 'Escape from L.A. (1996)', 'imdbId': 116225, 'tmdbId': 10061}, {'movieId': 3703, 'title': 'Road Warrior, The (Mad Max 2) (1981)', 'imdbId': 82694, 'tmdbId': 8810}]]"
4,"['Action,Adventure,Comedy,Fantasy,Romance']","[[{'movieId': 1197, 'title': 'Princess Bride, The (1987)', 'imdbId': 93779, 'tmdbId': 2493}]]"
5,"['Adventure,Drama,Western']","[[{'movieId': 590, 'title': 'Dances with Wolves (1990)', 'imdbId': 99348, 'tmdbId': 581}]]"
6,"['Action,Adventure,Drama']","[[{'movieId': 86, 'title': 'White Squall (1996)', 'imdbId': 118158, 'tmdbId': 10534}]]"
7,"['Action,Comedy,War']","[[{'movieId': 466, 'title': 'Hot Shots! Part Deux (1993)', 'imdbId': 107144, 'tmdbId': 9255}]]"
8,"['Action,Adventure,Comedy,Romance,Thriller']","[[{'movieId': 380, 'title': 'True Lies (1994)', 'imdbId': 111503, 'tmdbId': 36955}]]"
9,"['Action,Adventure']","[[{'movieId': 1198, 'title': 'Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981)', 'imdbId': 82971, 'tmdbId': 85}]]"
10,"['Action,Adventure,Crime']","[[{'movieId': 136020, 'title': 'Spectre (2015)', 'imdbId': 2379713, 'tmdbId': 206647}]]"
11,"['Action,Drama,War']","[[{'movieId': 110, 'title': 'Braveheart (1995)', 'imdbId': 112573, 'tmdbId': 197}, {'movieId': 2028, 'title': 'Saving Private Ryan (1998)', 'imdbId': 120815, 'tmdbId': 857}]]"
12,"['Action,Drama,Romance']","[[{'movieId': 168, 'title': 'First Knight (1995)', 'imdbId': 113071, 'tmdbId': 6520}]]"
13,"['Action,Adventure']","[[{'movieId': 1198, 'title': 'Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981)', 'imdbId': 82971, 'tmdbId': 85}]]"
14,"['Action,Drama,War']","[[{'movieId': 110, 'title': 'Braveheart (1995)', 'imdbId': 112573, 'tmdbId': 197}]]"
15,"['Action,Adventure,Drama']","[[{'movieId': 3578, 'title': 'Gladiator (2000)', 'imdbId': 172495, 'tmdbId': 98}]]"
